"mode","tile","out_name","year","original","mean_height","mean_change","mean_abs_change","relative_mean_change","relative_mean_abs_change","mae","rmse","correlation","SD","sd_change","relative_sd_change","wasserstein","q05_shift","q25_shift","q50_shift","q75_shift","q95_shift","shuffle_percentage","patch_size","time_min"
"shuffle","49UCP","49UCP_shuffle_20.0_  4x  4_ST512","2020",FALSE,2.40885089221047,-0.0472233883819362,0.820460773910935,-1.92271824818531,33.405372972394,0.820460773910935,1.63420065636933,0.904787055997336,3.35644275087847,-0.471137216397138,-12.3090104040983,0.23760740249232,0,0,0,0,-1,20,4,9.55558272600174
"shuffle","55HEV","55HEV_shuffle_20.0_  4x  4_ST512","2020",FALSE,5.21708989846741,-0.236571156039354,1.27391498899009,-4.33784119832414,23.3588955429739,1.27391498899009,1.98763381636763,0.952707311691047,4.61768674148374,-1.16926499640748,-20.2051969563092,0.893001712681061,0,1,1,0,-3,20,4,13.5051316579183
"shuffle","34UFD","34UFD_shuffle_25.0_  4x  4_ST512","2020",FALSE,3.28850666604601,-0.517733270877553,1.40632130354419,-13.6022237025871,36.9477838194526,1.40632130354419,2.13066709909896,0.780192474690409,2.4565421023429,-0.842190479421925,-25.5307291072183,0.690347860532157,0,0,0,-1,-2,25,4,11.8674816727638
"shuffle","35VML","35VML_shuffle_25.0_  4x  4_ST512","2020",FALSE,2.93311048986072,0.253442253510604,0.940678015703899,9.45797132916011,35.1042716013667,0.940678015703899,1.39288230149679,0.705541506800905,1.71030409875038,-0.134234434843337,-7.27739932772277,0.315354961231725,0,0,1,0,0,25,4,8.94836117823919
"shuffle","49NHC","49NHC_shuffle_25.0_  4x  4_ST512","2020",FALSE,33.114353077874,-6.98934850431728,7.07143625729636,-17.4281879940504,17.6328767128981,7.07143625729636,8.84087895686569,0.751799155054661,8.19762074871858,1.7325104987749,26.7978492522999,6.98951088719249,-10,-10,-7,-5,-4,25,4,6.80462468465169
"shuffle","49UCP","49UCP_shuffle_25.0_  4x  4_ST512","2020",FALSE,2.41026671339968,-0.0458075671927216,0.94394423629409,-1.86507254909541,38.433049185565,0.94394423629409,1.81232730811221,0.881359077402092,3.26221028434189,-0.56536968293372,-14.7709437233819,0.288433055898817,0,0,0,0,-1,25,4,9.22812837362289
"shuffle","55HEV","55HEV_shuffle_25.0_  4x  4_ST512","2020",FALSE,5.18404510735401,-0.269615947152754,1.49745364663624,-4.94376061251461,27.4577688578351,1.49745364663624,2.27384429788347,0.937767007278186,4.39765852775551,-1.38929321013571,-24.0073405319597,1.0646268095392,1,1,1,-1,-4,25,4,10.1003611564636
"shuffle","34UFD","34UFD_shuffle_30.0_  4x  4_ST512","2020",FALSE,3.26165423966886,-0.544585697254703,1.54797264297352,-14.3077080341622,40.6693395221081,1.54797264297352,2.29512793262441,0.737233284218838,2.37100846196481,-0.927724119800014,-28.1236534579497,0.749935076926391,0,0,0,-1,-2,30,4,12.3729442318281
"shuffle","35VML","35VML_shuffle_30.0_  4x  4_ST512","2020",FALSE,2.98522101409083,0.305552777740715,1.04015888071442,11.4026346096074,38.8167037472963,1.04015888071442,1.49447929938213,0.659773009207671,1.68475433266245,-0.159784200931273,-8.6625569496759,0.377937432859127,0,1,1,0,0,30,4,8.17282873789469
"shuffle","49NHC","49NHC_shuffle_30.0_  4x  4_ST512","2020",FALSE,31.8934607336158,-8.21024084857553,8.29422425052071,-20.4725262872528,20.6819418739239,8.29422425052071,10.1519115438104,0.708305684700831,8.42964529522746,1.96453504528377,30.3867214839977,8.21043504133253,-12,-11,-8,-6,-4,30,4,7.66633243958155
"shuffle","49UCP","49UCP_shuffle_30.0_  4x  4_ST512","2020",FALSE,2.4158752819954,-0.0401989985970039,1.05588536479667,-1.63671754208134,42.9907748776226,1.05588536479667,1.97347464589168,0.857336826088144,3.17652106160236,-0.651058905673249,-17.0096748138396,0.335882905852616,0,0,0,0,-1,30,4,8.16126288572947
"shuffle","55HEV","55HEV_shuffle_30.0_  4x  4_ST512","2020",FALSE,5.15793783370709,-0.29572322079968,1.70130277173801,-5.42247158090806,31.1956088714405,1.70130277173801,2.53149654458951,0.921659083489393,4.2024621458762,-1.58448959201502,-27.3803837284534,1.21822770435783,1,1,1,-1,-4,30,4,11.2151578267415
