mode,run,tile,out_name,year,original,mean_height,mean_change,mean_abs_change,relative_mean_change,relative_mean_abs_change,mae,rmse,correlation,SD,sd_change,relative_sd_change,wasserstein,q05_shift,q25_shift,q50_shift,q75_shift,q95_shift,shuffle_percentage,patch_size
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_80.0_ 64x 64_ST512,2020,FALSE,5.12771660729954,-4.30471303053159,5.93427396503385,-45.6373722976576,62.9135248593103,5.93427396503385,8.74397014648607,0.467724041181404,4.89737244030875,-3.65336922681097,-42.7257584082948,4.30471303052916,0,-2,-2,-9,-10,80,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_80.0_ 64x 64_ST512,2020,FALSE,18.3204153408515,-3.95957708383348,7.98836674352164,-17.7718960058824,35.8544410215822,7.98836674352164,12.6003847268815,0.703421893848437,15.3163937539465,-0.414928052770929,-2.63759179215157,4.0393709908641,0,-1,-12,-2,-1,80,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_100.0_ 64x 64_ST512,2020,FALSE,12.4113637620837,-2.29179262208962,6.98602135371079,-15.5870791427924,47.5137526336227,6.98602135371079,8.86213559627395,0.350829821197394,6.1676860326524,-2.31489176924362,-27.2899562291806,2.5855287673198,-1,1,-1,-5,-6,100,64
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_100.0_ 64x 64_ST512,2020,FALSE,4.96744495141391,-4.46498468641723,6.82676641845071,-47.3365278921274,72.3754820398579,6.82676641845071,9.55838734021909,0.296972657528108,4.72101647108015,-3.82972519603958,-44.7882224154434,4.46498468641562,0,-2,-2,-9,-11,100,64
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_100.0_ 64x 64_ST512,2020,FALSE,18.1541182929949,-4.12587413168999,9.76422427620476,-18.5182923451929,43.8250789770762,9.76422427620476,14.4136979625394,0.603469882276568,15.271061043273,-0.460260763444344,-2.92576027049303,4.21089696138107,0,-1,-13,-2,-1,100,64
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_2.5_128x128_ST512,2020,FALSE,15.9918825074558,1.28872612328249,2.17966578153845,8.7649623632494,14.8244752663087,2.17966578153845,3.72787558669614,0.936067981339159,9.76509679218125,1.28251899028523,15.1194485949609,1.44027064504211,0,0,1,3,2,2.5,128
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_2.5_128x128_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,2.5,128
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_2.5_128x128_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,2.5,128
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_5.0_128x128_ST512,2020,FALSE,15.9918825074558,1.28872612328249,2.17966578153845,8.7649623632494,14.8244752663087,2.17966578153845,3.72787558669614,0.936067981339159,9.76509679218125,1.28251899028523,15.1194485949609,1.44027064504211,0,0,1,3,2,5,128
shuffle,2026-06-02_shuffle_1,32UQU,32UQU_shuffle_5.0_128x128_ST512,2020,FALSE,9.43242963783114,0,0,0,0,0,0,1,8.55074166711972,0,0,0,0,0,0,0,0,5,128
shuffle,2026-06-02_shuffle_1,33NTG,33NTG_shuffle_5.0_128x128_ST512,2020,FALSE,22.2799924246849,0,0,0,0,0,0,1,15.7313218067174,0,0,0,0,0,0,0,0,5,128
shuffle,2026-06-02_shuffle_1,32TMT,32TMT_shuffle_10.0_128x128_ST512,2020,FALSE,15.9918825074558,1.28872612328249,2.17966578153845,8.7649623632494,14.8244752663087,2.17966578153845,3.72787558669614,0.936067981339159,9.76509679218125,1.28251899028523,15.1194485949609,1.44027064504211,0,0,1,3,2,10,128
