"tile","out_name","band","increment","decrease","shuffle_percentage","shuffle_tile_size","mean_height","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","quantile_shift","wasserstein","year"
"34UFD","34UFD_shuffle50.0_local-NA","",NA,NA,50,NA,8.24282179192243,3.02668372067408,4.5672727715256,76.2117669287169,89.7021392415522,0.518734323496304,4.31903972517707,4,3.92948639686356,"2020"
"35VML","35VML_shuffle50.0_local-NA","",NA,NA,50,NA,8.84951834355034,4.46279861135826,4.47541841912879,72.102003631826,72.323826797818,0.431279907684823,1.85685480817209,5,4.46279861135828,"2020"
"49NHC","49NHC_shuffle50.0_local-NA","",NA,NA,50,NA,27.5599350486229,-11.5489042635656,11.8273660182803,-35.8623983881662,37.3983709076516,0.440855781773804,7.30729726851945,-11,11.5661981639377,"2020"
"49UCP","49UCP_shuffle50.0_local-NA","",NA,NA,50,NA,4.9865313796353,1.85931002131187,2.53546923405345,50.5246599737703,75.5658709932499,0.707646975641447,3.06571919773222,0,1.9048604150667,"2020"
"55HEV","55HEV_shuffle50.0_local-NA","",NA,NA,50,NA,12.5941132522536,5.55497437456387,6.23159336079435,87.0671759149226,91.3907678182147,0.765441066438336,4.38700628085292,5,5.61028064923017,"2020"
"10TES","10TES_shuffle65.0_local-NA","",NA,NA,65,NA,22.6008011609701,1.97091857605965,4.41980064293553,18.5099914592921,29.7784900921232,0.730892247167172,5.4149100677054,8,2.01352028840147,"2020"
"17SNB","17SNB_shuffle65.0_local-NA","",NA,NA,65,NA,22.6640679656932,9.2528482481172,9.43012340362157,55.2505951160274,56.0534070952498,0.366668704856727,4.75851134763688,10,9.2528482481184,"2020"
"20MMD","20MMD_shuffle65.0_local-NA","",NA,NA,65,NA,33.8074099829998,-4.80924651032389,5.47770570224486,-12.6010903814843,16.1474778126981,0.656422522400917,4.06226533651839,-4,4.97630853165641,"2020"
"32TMT","32TMT_shuffle65.0_local-NA","",NA,NA,65,NA,17.7357787512666,0.744944648507931,7.13218012611165,23.791285722202,50.8726706635954,0.649021036060874,8.22766013845787,9,5.90430756963399,"2020"
"32UQU","32UQU_shuffle65.0_local-NA","",NA,NA,65,NA,11.5712004522241,2.97389256630332,5.82591422497444,58.7854135156253,76.9703102907598,0.601601294182879,5.88811141167144,7,4.64700826655229,"2020"
"33NTG","33NTG_shuffle65.0_local-NA","",NA,NA,65,NA,17.875866118391,-4.71227774806448,9.22191774467568,5.27753482625862,60.203024486347,0.797979933266259,9.60831202497741,4,8.15402013909823,"2020"
"34UFD","34UFD_shuffle65.0_local-NA","",NA,NA,65,NA,6.99621586796947,1.78007779672112,3.88933366845946,65.7478641986869,85.6192371062812,0.579936305100618,4.16845360604609,4,3.20445583199814,"2020"
"35VML","35VML_shuffle65.0_local-NA","",NA,NA,65,NA,9.56749081728386,5.18077108509178,5.1929907950598,78.3030096232338,78.5052637645712,0.327538664706657,2.06722855528813,6,5.18077108509184,"2020"
"49NHC","49NHC_shuffle65.0_local-NA","",NA,NA,65,NA,28.8760221993597,-10.2328171128287,11.4683446880626,-32.5349785231206,36.5493161678256,0.347259320687355,9.24474817818541,-11,10.4195403445781,"2020"
"49UCP","49UCP_shuffle65.0_local-NA","",NA,NA,65,NA,8.38938766464999,5.26216630632657,5.70209561234819,113.301116604241,116.747642125502,0.507391688696533,3.87087543652196,2,5.28441072402606,"2020"
"55HEV","55HEV_shuffle65.0_local-NA","",NA,NA,65,NA,7.60593902962903,0.566800151939259,4.22331824625586,48.749592290137,78.0093377423491,0.728892360274479,5.08145390734823,4,3.54788904689555,"2020"
"10TES","10TES_shuffle80.0_local-NA","",NA,NA,80,NA,24.2922274260417,3.66225001379378,5.38108252734044,25.0620644476156,33.0367554497468,0.675207197690491,5.87323936533231,10,3.66253435900609,"2020"
"17SNB","17SNB_shuffle80.0_local-NA","",NA,NA,80,NA,20.5864216605483,7.17520194297228,7.68071783437621,45.9384363914486,48.6158140959527,0.300799475531783,5.0643317902112,8,7.1784345680191,"2020"
"20MMD","20MMD_shuffle80.0_local-NA","",NA,NA,80,NA,26.8558703717193,-11.7607861216044,12.0281159224375,-35.4781187489643,37.4662125506887,0.577599064324218,4.45885114436508,-10,11.8239354952267,"2020"
"32TMT","32TMT_shuffle80.0_local-NA","",NA,NA,80,NA,17.9672686089922,0.976434506233457,7.78945567371692,25.2109198658358,54.0239884195352,0.552681061155748,8.8535799027478,10,6.38108986917966,"2020"
"32UQU","32UQU_shuffle80.0_local-NA","",NA,NA,80,NA,11.0725776054631,2.47526971954233,5.88811458224985,54.9550975740501,77.7568250266995,0.521450194745268,6.21961143321381,7,4.33428121074971,"2020"
"33NTG","33NTG_shuffle80.0_local-NA","",NA,NA,80,NA,18.6562445859313,-3.93189928052413,8.13545209683786,3.70003574989532,57.7102046217087,0.748331766987254,9.89646306945231,3,6.49363908693555,"2020"
"34UFD","34UFD_shuffle80.0_local-NA","",NA,NA,80,NA,8.980462489977,3.76432441872864,5.20279047396195,82.7284673791742,94.92929223223,0.459937030140457,4.48165081685126,5,4.22986955383989,"2020"
"35VML","35VML_shuffle80.0_local-NA","",NA,NA,80,NA,6.88418236592838,2.4974626337363,2.69699800062982,49.6021268512782,52.7898195374622,0.161785693724593,2.06572846029404,4,2.49746263373584,"2020"
"49NHC","49NHC_shuffle80.0_local-NA","",NA,NA,80,NA,28.6909371764184,-10.4179021357701,11.2097565724128,-31.4754878191222,34.7810294720579,0.318654908356404,8.03096719937945,-9,10.481616261056,"2020"
"49UCP","49UCP_shuffle80.0_local-NA","",NA,NA,80,NA,7.27568899453697,4.14846763621355,4.71900331341556,100.956669133165,106.474193598442,0.514588277139635,4.03265073745319,2,4.14846763621328,"2020"
"55HEV","55HEV_shuffle80.0_local-NA","",NA,NA,80,NA,8.05090753366049,1.01176865597071,4.42475431380907,53.556639720771,80.0692938885319,0.704466547759368,5.17136894275479,4,3.66733294653369,"2020"
"10TES","10TES_shuffle100.0_local-NA","",NA,NA,100,NA,23.0362646779959,2.40625327924688,5.53812029132975,19.2482381600215,33.9515680038656,0.490649470730443,7.08107557855217,10,2.42975196203825,"2020"
"17SNB","17SNB_shuffle100.0_local-NA","",NA,NA,100,NA,25.3829112783638,11.9716915607878,12.0870304717108,64.9194022541889,65.4698269947608,0.203323006353926,5.34959240685489,13,11.971691560789,"2020"
"20MMD","20MMD_shuffle100.0_local-NA","",NA,NA,100,NA,34.2461122300307,-4.37054426329301,5.23849916632482,-11.8227499408538,16.0250910659643,0.50885533235833,5.28929644927728,-6,4.52934062402584,"2020"
"32TMT","32TMT_shuffle100.0_local-NA","",NA,NA,100,NA,17.5861576714007,0.595323568642022,8.49620879764916,22.8152731866517,57.4635830386621,0.344616156913731,9.70029485163197,10,6.37224061174956,"2020"
"32UQU","32UQU_shuffle100.0_local-NA","",NA,NA,100,NA,11.1151446579243,2.5178367720036,6.38226327701398,54.0020539791593,80.8527207356328,0.373702820604964,6.80102037355709,7,4.41638035879331,"2020"
"33NTG","33NTG_shuffle100.0_local-NA","",NA,NA,100,NA,18.7694978883376,-3.81864597811779,9.82765548063869,7.74541378718716,65.1926854318126,0.655038206176427,11.2725022334257,4,7.33603299546039,"2020"
"34UFD","34UFD_shuffle100.0_local-NA","",NA,NA,100,NA,7.20205518060231,1.98591710935396,4.52016624028156,66.5136963178644,90.8240754379004,0.303570204658498,4.8095612540515,5,3.68006308180183,"2020"
"35VML","35VML_shuffle100.0_local-NA","",NA,NA,100,NA,7.34193726690223,2.95521753471015,3.14642267487674,54.7878946403306,57.8550503654268,0.0523995258390063,2.28309265652869,4,2.95521753470999,"2020"
"49NHC","49NHC_shuffle100.0_local-NA","",NA,NA,100,NA,28.8029283086608,-10.3059110035277,12.1348921533812,-32.5825814163255,38.6139131363683,0.17509811710121,10.2052874656576,-11,10.4499902899156,"2020"
