"tile","band","increment","decrease","average_difference","avg_abs_diff","avg_difference_percent","avg_abs_diff_perc","correlation","std_dev","out_name","year"
"34UFD","B12",0.1,"True",-0.00938266544333171,1.10149736222276,-19.3186657286185,37.4471361953332,0.957268307390193,1.5469000145534,"34UFD_B12_10_D","2020"
"35VML","B12",0.1,"True",2.60193311686997,2.78758909376849,40.1424502753008,49.1808577632968,0.828162897203719,1.98328573540181,"35VML_B12_10_D","2020"
"49NHC","B12",0.1,"True",-3.0498698592036,4.01403653499448,-7.01575364316204,10.1785477127427,0.885088635653252,3.80317797324213,"49NHC_B12_10_D","2020"
"49UCP","B12",0.1,"True",1.21164574351861,1.54473572306119,4.98836306097622,35.8355356387425,0.947509968267473,2.30161213784475,"49UCP_B12_10_D","2020"
"55HEV","B12",0.1,"True",0.908586168754801,1.7789114109618,0.802072830768838,34.7323003729875,0.969133609128588,2.37550814343057,"55HEV_B12_10_D","2020"
"10TES","B05",0.15,"False",-6.67203274478206,6.68800448200224,-43.6133648862947,44.6047081537953,0.912276731563971,3.25041095780091,"10TES_B05_15_I","2020"
"17SNB","B05",0.15,"False",-11.759042442598,11.7705136918657,-77.296421052142,77.4341730058272,0.684702913653696,5.09719595292727,"17SNB_B05_15_I","2020"
"20MMD","B05",0.15,"False",-1.85211001849087,2.0589636503818,-5.29936409194197,6.61103073132423,0.944917312066995,1.47363385018602,"20MMD_B05_15_I","2020"
"32TMT","B05",0.15,"False",-0.171964098858073,1.91761097734483,-9.98343663258105,16.6591610363821,0.985158794891722,2.44990658011212,"32TMT_B05_15_I","2020"
"32UQU","B05",0.15,"False",-1.79573388726039,1.99666883034691,-13.8482416409679,28.3327919064865,0.971788372664855,2.32672580931435,"32UQU_B05_15_I","2020"
"33NTG","B05",0.15,"False",-0.186375645244011,1.22802291327695,9.94690631407879,21.3469399281748,0.993572436445904,1.71037924474057,"33NTG_B05_15_I","2020"
"34UFD","B05",0.15,"False",-1.30822837027818,1.5682260102925,-10.1348975752559,33.9846340380822,0.96502842332405,1.84756618037357,"34UFD_B05_15_I","2020"
"35VML","B05",0.15,"False",-0.841565588341599,0.920925852020383,-21.4008814389163,25.5267433163028,0.899457316248716,0.894549218102004,"35VML_B05_15_I","2020"
